id;autor;titulo;jornal;volume;paginas;ano;evento;endereco;note;venue;editor;tipo;instituicao;mes
1217; Callan, J. and Utgoff, P. ; A Transformational Approach to Constructive Induction. ;NULL;NULL; pages 122-126 ;1991. ; Morgan Kauf-mann. ; Northwestern University, Chicago, IL, ;NULL; In Proceedings of the Eighth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1218; Callan, J. and Utgoff, P. ; A Transformational Approach to Constructive Induction. ;NULL;NULL; pages 122-126 ;1991. ; Morgan Kauf-mann. ; Northwestern University, Chicago, IL, ;NULL; In Proceedings of the Eighth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1219; J. Callan and P. Utgoff. ; A transformational approach to constructive induction. ;NULL;NULL; pages 122-126 ; 1991. ; Morgan Kaufmann, ;NULL;NULL; In Proceedings of the Eighth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1220; J. Callan and P. Utgoff. ; A transformational approach to constructive induction. ;NULL;NULL; pages 122-126 ; 1991. ; Morgan Kaufmann, ;NULL;NULL; In Proceedings of the Eighth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1221; J.P. Callan and P.E. Utgoff, ; A transformational approach to constructive induction. ;NULL;NULL; 122-126 ;NULL; Morgan Kaufmann, ; San Mateo, CA: ;NULL; Proceedings of the Eighth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1222; Callan, J. P., & Utgoff, P. E. ; Constructive induction on domain knowl edge. ;NULL;NULL; pp 614-619) ;1991; MIT Press. ; Anaheim, CA: ;NULL; Proceedings of the Ninth National Conference on Artificial Intelligence ;NULL;NULL;NULL;NULL
1223; Callan, J. P., & Utgoff, P. E. ; Constructive induction on domain knowledge. ;NULL;NULL; pp 614-619 ;1991; MIT Press. ; Anaheim, CA: ;NULL; Proceedings of the Ninth National Conference on Artificial Intelligence;NULL;NULL;NULL;NULL
1224; J. P. Callan and P.E. Utgoff. ; Constructive induction on domain knowledge. ;NULL;NULL; pages 614-619 ; 1991. ;NULL;NULL;NULL; In Proceedings of the Ninth National Conference on Artificial Intelligence ;NULL;NULL;NULL;NULL
1225; C. Cardie. ; Using Decision Trees to Improve Case-Based Learning. ;NULL;NULL; pages 25-32 ; 1993. ; Morgan Kaufmann. ; Amherst, MA,;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In P. Utgoff, editor, ;NULL; University of Massachusetts,;NULL
1226; C. Cardie. ; Using Decision Trees to Improve Case-Based Learning. ;NULL;NULL; pages 25-32 ;1993. ; Morgan Kaufmann. ;Amherst, MA, ;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In P. Utgoff, editor, ;NULL; University of Massachusetts,;NULL
1227; C. Cardie. ; Using Decision Trees to Improve Case-Based Learning. ;NULL;NULL; pages 25-32 ; 1993. ; Morgan Kaufmann. ;Amherst, MA,;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In P. Utgoff, editor, ;NULL; University of Massachusetts, ;NULL
1228; Cardie, C. ; Using Decision Trees to Improve Case-Based Learning. ;NULL;NULL;NULL; 1993. ;NULL; Amherst, MA. ;NULL; Proceedings Tenth International Conference on Machine Learning. ;in P. Utgoff (Ed.), ;NULL; University of Mas-sachusetts,;NULL
1229; Cardie, C. ; Using Decision Trees to Improve Case-Based Learning.  ;NULL;NULL;NULL; 1993. ;NULL; Amherst, MA. ;NULL; Proceedings Tenth International Conference on Machine Learning. ; IN P. Utgoff (Ed.), ;NULL; University of Mas-sachusetts,;NULL
1230; Cardie, C. ; Using Decision Trees to Improve Case-Based Learning.  ;NULL;NULL;NULL; 1993. ;NULL;Amherst, MA. ;NULL; Proceedings Tenth International Conference on Machine Learning. ; IN P. Utgoff (Ed.), ;NULL; University of Mas-sachusetts, ;NULL
1231; Cardie, C. ; Using Decision Trees to Improve Case-Based Learning.  ;NULL;NULL;NULL; 1993. ;NULL; Amherst, MA. ;NULL; Proceedings Tenth International Conference on Machine Learning. ; in P. Utgoff (Ed.), ;NULL; University of Mas-sachusetts,;NULL
1232; Cardie, C. ; Using Decision Trees to Improve Case-Based Learning. ;NULL;NULL; pages 25-32 ;1993. ; Morgan Kaufmann. ; Amherst, MA, ;NULL; Proceedings of the Tenth International Conference on Machine Learning ;  In Utgoff, P., editor, ;NULL; University of Massachusetts,;NULL
1076; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1077; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1078; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1079; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1080; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1081; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1082; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ;NULL;NULL; 57-94 ; 1992. ;NULL;NULL;NULL; Machine Learning 9 ;NULL;NULL;NULL;NULL
1083; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1084; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1085; Pazzani, M., and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1086; Pazzani, M., and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1087; Pazzani, M., and Kibler, D. ; The utility of prior knowledge in inductive learning. ; Machine Learning ;9; 54-97 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1088; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1089; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1090; Pazzani, M., and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1091; Pazzani, M., and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1092; Pazzani, M., and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1093; Pazzani, M., and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1094; Pazzani, M., and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1095; Pazzani, M., and Kibler, D. ; The utility of prior knowledge in inductive learning. ; Machine Learning, ;9; 54-97 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1096; M. Pazzani and D. Kibler. ; The utility of prior knowledge in inductive learning. ; Machine Learning, ;9; 54-97 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1097; Pazzani, M., and Kibler, D. ; The role of prior knowledge in inductive learning. ; Machine Learning, ;9; 54-97 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1098; Micheal J. Pazzani and Dennis Kibler. ; The role of prior knowledge in inductive learning. ; Machine Learning, ;9; 54-97 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1099; Micheal J. Pazzani and Dennis Kibler. ; The role of prior knowledge in inductive learning. ; Machine Learning, ;9; 54-97 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1100; M. Pazzani and D. Kibler. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1101; Micheal J. Pazzani and Dennis Kibler. ; The role of prior knowledge in inductive learning.; Machine Learning, ;9;54-97 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1102; M. Pazzani and D. Kibler. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1103; M. Pazzani and D. Kibler. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1104; Pazzani, M., and Kibler, D. ;" ""The Utility of Knowledge in Inductive Learning"", "; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1105; Pazzani, M., and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1): ; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1106; Pazzani, M. and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1): ; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1107; M. Pazzani and D. Kibler. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1108; Pazzani, M., and Kibler, D., ;" ""The utility of knowledge in inductive learning"", "; Machine Learning, ; 9(1) ; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1109; Pazzani, M., and Kibler, D., ;" ""The utility of knowledge in inductive learning"", "; Machine Learning, ; 9(1) ; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1110; M. Pazzani and D. Kibler. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ; 1997. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1111; M. Pazzani and D. Kibler. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ; 1997. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1112; Bruce Porter and Dennus Kibler. ; Experimental goal regression: A method for learning problem-solving heuristics. ; Machine Learning, ;1; 249-286 ; 1986. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1113; Bruce Porter and Dennus Kibler. ; Experimental goal regression: A method for learning problem-solving heuristics. ; Machine Learning, ;1; 249-286 ; 1986. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1114; Bruce Porter and Dennus Kibler. ; Experimental goal regression: A method for learning problem-solving heuristics. ; Machine Learning, ;1; 249-286 ; 1986. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1115; Bruce Porter and Dennus Kibler. ; Experimental goal regression: A method for learning problem-solving heuristics. ; Machine Learning, ;1; 249-286 ; 1986. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1116; Bruce Porter and Dennus Kibler. ; Experimental goal regression: A method for learning problem-solving heuristics. ; Machine Learning, ;1; 249-286 ; 1986. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1117; David Ruby and Dennis Kibler. ; Learning subgoal sequences for planning. ;NULL;NULL; pages 609-614 ; 1989. ;NULL; Detroit, MI, ;NULL; In Proceedings of the Eleventh International Joint Conference on Artificial Intelligence ;NULL;NULL;NULL;NULL
1118; Ruby, D., & Kibler, D. ; SteppingStone: An empirical and analyt ical evaluation. ;NULL;NULL;NULL;1991; AAAI Press. ; San Mateo, CA: ;NULL; Proceedings Ninth National Conference on Artificial Intelligence. ;NULL;NULL;NULL;NULL
1119; Ruby, D., & Kibler, D. ; SteppingStone: An empirical and analytical evaluation. ;NULL;NULL;NULL;1991; AAAI Press. ; San Mateo, CA: ;NULL; Proceedings Ninth National Conference on Artificial Intelligence. ;NULL;NULL;NULL;NULL
1120; Ruby, D., & Kibler, D. ; SteppingStone: An empirical and analytical evaluation. ;NULL;NULL;NULL;1991; AAAI Press. ; San Mateo, CA: ;NULL; Proceedings Ninth National Conference on Artificial Intelligence. ;NULL;NULL;NULL;NULL
1121; D. Ruby and D. Kibler. ; Learning subgoal sequences for planning. ;NULL;NULL;NULL; 1991. ; AAAI Press, ;NULL;NULL; In Proceedings of AAAI-91. ;NULL;NULL;NULL;NULL
1122; D. Ruby and D. Kibler. ; Learning subgoal sequences for planning. ;NULL;NULL;NULL; 1991. ; AAAI Press, ;NULL;NULL; In Proceedings of AAAI-91. ;NULL;NULL;NULL;NULL
1123; J. Sklansky and D. F. Kibler. ; A theory of nonuniformity in digitized binary pictures. ; IEEE Trans. Syst., Man, and Cybernetics, ; SMC-6(9): ;637-647 ; 1976. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sept. 
1124; Brodley, C. E. & Utgoff, P. E. ; Multivariate versus univariate decision trees, ;NULL;NULL;NULL;1992;NULL; Amherst, MA, ;NULL;NULL;NULL; Tech--nical Report COINS TR 92-8, ; Department of Computer Science, University of Mas-sachusetts,;NULL
1125; Brodley, C. E. & Utgoff, P. E. ; Multivariate versus univariate decision trees, ;NULL;NULL;NULL;1992;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS TR 92-8, ; Department of Computer Science, University of Massachusetts,;NULL
1126; Brodley, C. E. and Utgoff, P. E. ; Multivariate versus univariate decision trees, ;NULL;NULL;NULL;1992;NULL; Amherst, MA. ;NULL;NULL;NULL; Technical Report 92-8, ; Department of Computer Science, University of Massachusetts,;NULL
1127; Brodley, C. E. and Utgoff, P. E. ; Multivariate versus univariate decision trees, ;NULL;NULL;NULL;1992;NULL; Amherst, MA. ;NULL;NULL;NULL; Technical Report 92-8, ; Department of Computer Science, University of Massachusetts,;NULL
1128; Brodley, C. E. and Utgoff, P. E. ; Multivariate versus univariate decision trees, ;NULL;NULL;NULL;1992;NULL; Amherst, MA. ;NULL;NULL;NULL; Technical Report 92-8, ; Department of Computer Science, University of Massachusetts,;NULL
1129; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees, ;NULL;NULL;NULL;1992;NULL; Amherst, MA:;NULL;NULL;NULL; (Coins Technical Report 92-8), ; University of Massachusetts, Department of Computer and Information Science. ;NULL
1130; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees, ;NULL;NULL;NULL;1992;NULL; Amherst, MA:;NULL;NULL;NULL; (Coins Technical Report 92-8), ; University of Massachusetts, Department of Computer and Information Science. ;NULL
1131; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees, ;NULL;NULL;NULL;1992;NULL; Amherst, MA: ;NULL;NULL;NULL; (Coins Technical Report 92-8), ;University of Massachusetts, Department of Computer and Information Science. ;NULL
1132; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees, ;NULL;NULL;NULL;1992;NULL; Amherst, MA:;NULL;NULL;NULL; (Coins Technical Report 92-8), ; University of Massachusetts, Department of Computer and Information Science. ;NULL
1133; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL;NULL; Tech. rep. COINS CR 92-8, ; Dept. of Computer Science, University of Massachusetts atAmherst;NULL
1134; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL;NULL; Tech. rep. COINS CR 92-8, ; Dept. of Computer Science, University of Massachusetts at Amherst. ;NULL
1135; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL;NULL; Tech. rep. COINS CR 92-8, ; Dept. of Computer Science, University of Massachusetts at Amherst. ;NULL
1136; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL;NULL; Tech. rep. COINS CR 92-8, ; Dept. of Computer Science, University of Massachusetts at Amherst. ;NULL
1137; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL;NULL; Tech. rep. COINS CR 92-8, ; Dept. of Computer Science, University of Massachusetts at Amherst. ;NULL
1138; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL;NULL; Tech. rep. COINS CR 92-8, ; Dept. of Computer Science, University of Massachusetts at Amherst. ;NULL
1139; Brodley, C. E., & Utgoff, P. E. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL;NULL; Tech. rep. COINS CR 92-8, ; Dept. of Computer Science, University of Massachusetts at Amherst. ;NULL
1140; Brodley, C. E., and Utgoff, P. E. ; Multivariate Versus Univariate Decision Trees. ;NULL;NULL;NULL; 1992. ;NULL;NULL;NULL;NULL;NULL; COINS Technical Report 92-8, ; Dept. of Computer Science, Univ. of Mass. ;NULL
1141; C.E. Brodley and P.E. Ut-goff, ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, Massachusetts, USA, ;NULL;NULL;NULL; COINS Technical Report 92-8, ; Department of Computer Science, University of Massachusetts,;NULL
1142; C.E. Brodley and P.E. Utgoff, ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; COINS Technical Report 92-8, ; Department of Computer Science, University of Massachusetts,;NULL
1143; Brodley, C. E., and Utgoff, P. E. ; Multivariate Versus Univariate Decision Trees. ;NULL;NULL;NULL; 1992. ;NULL; U. Mass. ;NULL;NULL;NULL; COINS Technical Report 92-8, ; Dept. of Computer Science, ;NULL
1144; Carla E. Brodley and Paul E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS-CR-92-8, ; Dept. of Computer Science, University of Massachusetts,; January 
1145; Carla E. Brodley and Paul E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS-CR-92-8, ; Dept. of Computer Science, University of Massachusetts,; January 
1146; Carla E. Brodley and Paul E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS-CR-92-8, ; Dept. of Computer Science, University of Massachusetts,; January 
1147; Carla E. Brodley and Paul E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS-CR-92-8, ; Dept. of Computer Science, University of Massachusetts,; January 
1148; Carla E. Brodley and Paul E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS-CR-92-8, ; Dept. of Computer Science, University of Massachusetts,; January 
1149; Carla E. Brodley and Paul E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS-CR-92-8, ; Dept. of Computer Science, University of Massachusetts,; January 
1150; Carla E. Brodley and Paul E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS-CR-92-8, ; Dept. of Computer Science, University of Massachusetts,; January 
942; D Aha, D Kibler, and M Albert. ; Instance-based learning algorithms. ; Machine Learning, ;6; 37-66 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
943; D. W. Aha, D. Kibler, and M. K. Albert. ; Instance-based learning algorithms. ; Machine Learning, ;6; 37-66 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
944; D. W. Aha, D. Kibler, and M. K. Albert. ; Instance-based learning algorithms. ; Machine Learning, ; 6(1) ; 37-66 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
945; D. Aha, D. Kibler, and M. Albert. ; Instance-based learning algorithms. ; Machine Learning, ; 6(1) ; 37-66 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
946; D. W. Aha, D. Kibler, and M. K. Albert. ; Instance-based learning algorithms. ; Machine Learning, ;6; 37-66 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
947; D. W. Aha, D. Kibler, and M. K. Albert. ; Instance-based learning algorithms. ; Machine Learning, ;6; 37-66 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
